261306,259278,256154,254407,Marin,California
17119,17127,17053,16919,Mariposa,California
91367,91321,90007,89108,Mendocino,California
281830,284610,290210,291920,Merced,California
8681,8641,8619,8500,Modoc,California
13228,13271,13002,13066,Mono,California
438322,437158,432884,430723,Monterey,California
137459,136265,134370,133216,Napa,California
102265,103517,102401,102037,Nevada,California
3185734,3160611,3150372,3135755,Orange,California
405927,413047,418074,423561,Placer,California
19746,19958,19443,19131,Plumas,California
2422993,2453399,2474241,2492442,Riverside,California
1586566,1588810,1584380,1584288,Sacramento,California
64530,66709,67643,68175,San Benito,California
2183391,2193087,2194908,2195611,San Bernardino,California
3295298,3274432,3277176,3269973,San Diego,California
870518,811935,807774,808988,San Francisco,California
780617,788354,794293,800965,San Joaquin,California
281884,279464,282046,281639,San Luis Obispo,California
762479,739149,728929,726353,San Mateo,California
448424,437521,443915,441257,Santa Barbara,California
1931168,1885173,1878335,1877592,Santa Clara,California
270474,260475,264240,261547,Santa Cruz,California
182002,182135,180937,180366,Shasta,California
3225,3294,3222,3200,Sierra,California
43995,44139,43786,42905,Siskiyou,California
452723,450653,448885,449218,Solano,California
488282,484519,482669,481812,Sonoma,California
553257,552723,551226,551430,Stanislaus,California
99479,99152,98569,97948,Sutter,California
65687,65446,65299,64896,Tehama,California
16091,16082,15778,15670,Trinity,California
473914,477176,477884,479468,Tulare,California
55379,55131,54587,54204,Tuolumne,California
843371,839471,832871,829590,Ventura,California
216291,213141,222018,220544,Yolo,California
81958,83227,84353,85722,Yuba,California
520500,523544,527509,533365,Adams,Colorado
16377,16579,16587,16655,Alamosa,Colorado
655272,656855,656269,656061,Arapahoe,Colorado
13424,13806,13989,14189,Archuleta,Colorado
3480,3490,3435,3344,Baca,Colorado
5473,5339,5439,5681,Bent,Colorado
330938,327084,327339,326831,Boulder,Colorado
74490,75411,76195,76860,Broomfield,Colorado
19484,19741,20265,20617,Chaffee,Colorado
1746,1719,1731,1727,Cheyenne,Colorado
9393,9457,9367,9147,Clear Creek,Colorado
7451,7582,7587,7521,Conejos,Colorado
3502,3613,3615,3628,Costilla,Colorado
5688,5735,5627,5636,Crowley,Colorado
4723,5063,5337,5534,Custer,Colorado
31056,31392,31560,31746,Delta,Colorado
717606,711467,713453,716577,Denver,Colorado
2331,2375,2460,2513,Dolores,Colorado
360323,369783,375937,383906,Douglas,Colorado
55657,55774,55218,54381,Eagle,Colorado
26216,27159,27842,28806,Elbert,Colorado
732384,737287,740596,744215,El Paso,Colorado
48878,49237,49616,50318,Fremont,Colorado
61794,62107,62256,62707,Garfield,Colorado
5820,5893,5886,5926,Gilpin,Colorado
15747,15851,15734,15935,Grand,Colorado
16950,17294,17320,17321,Gunnison,Colorado
788,773,771,765,Hinsdale,Colorado
6827,6934,7097,7055,Huerfano,Colorado
1379,1359,1314,1309,Jackson,Colorado
583081,580703,575811,576366,Jefferson,Colorado
1455,1454,1434,1384,Kiowa,Colorado
7062,6927,6983,6994,Kit Carson,Colorado
7408,7395,7346,7365,Lake,Colorado
55673,56169,56553,56407,La Plata,Colorado
359923,362747,367577,370771,Larimer,Colorado
14490,14334,14311,14348,Las Animas,Colorado
5662,5473,5510,5480,Lincoln,Colorado
21210,21006,20792,20619,Logan,Colorado
156011,157439,158531,159681,Mesa,Colorado
874,929,931,944,Mineral,Colorado
13269,13165,13205,13327,Moffat,Colorado
25887,26234,26467,26531,Montezuma,Colorado
42818,43236,43807,44156,Montrose,Colorado
29076,29006,29266,29524,Morgan,Colorado
18664,18527,18311,18136,Otero,Colorado
4882,5063,5103,5176,Ouray,Colorado
17418,17744,17921,18117,Park,Colorado
4527,4502,4448,4476,Phillips,Colorado
17355,17337,16847,16640,Pitkin,Colorado
12017,11990,11873,11751,Prowers,Colorado
168337,169316,169472,169422,Pueblo,Colorado
6520,6442,6549,6569,Rio Blanco,Colorado
11541,11406,11337,11188,Rio Grande,Colorado
24832,25058,25072,25064,Routt,Colorado
6389,6511,6627,6688,Saguache,Colorado
711,741,806,802,San Juan,Colorado
8054,8080,8008,7868,San Miguel,Colorado
2389,2326,2286,2299,Sedgwick,Colorado
31001,30998,30636,30465,Summit,Colorado
24744,24945,24860,24617,Teller,Colorado
4813,4868,4847,4855,Washington,Colorado
331458,339897,350266,359442,Weld,Colorado
9971,9925,9895,9862,Yuma,Colorado
962436,970142,972068,975328,Capitol Planning Region,Connecticut
324387,326752,327125,327651,Greater Bridgeport Planning Region,Connecticut
